model_name,precision,recall,f1_score,roc_auc,pr_auc,tn,fp,fn,tp,threshold,threshold_objective,training_seconds
Random Forest,0.9855072463768116,0.7157894736842105,0.8292682926829268,0.9490739699861295,0.8071941735020507,56650,1,27,68,0.527,precision_priority,37.18629000001238
XGBoost,0.927710843373494,0.8105263157894737,0.8651685393258427,0.9750174893554162,0.8226340056868782,56645,6,18,77,0.41500000000000004,recall_priority,3.46564925002167
Isolation Forest,0.06505295007564296,0.45263157894736844,0.11375661375661375,0.9317932790706531,0.06857229068056092,56033,618,52,43,0.5769604030363915,anomaly_quantile_99,0.39130833401577547
Autoencoder,0.115625,0.7789473684210526,0.20136054421768707,0.9194196414055031,0.5501769595136066,56085,566,21,74,0.8782194725058396,reconstruction_quantile_99,7.99597679200815
