model_name,precision,recall,f1_score,roc_auc,pr_auc,tn,fp,fn,tp,threshold,threshold_objective,training_seconds,false_positive_rate,false_negative_rate,precision_rank,recall_rank,f1_rank,roc_auc_rank,pr_auc_rank,overall_score,overall_rank
XGBoost,0.927710843373494,0.8105263157894737,0.8651685393258427,0.9750174893554162,0.8226340056868782,56645,6,18,77,0.415,recall_priority,3.46564925002167,0.00010591163439303807,0.18947368421052632,2,1,1,1,1,0.8639727018189328,1
Random Forest,0.9855072463768116,0.7157894736842105,0.8292682926829268,0.9490739699861296,0.8071941735020507,56650,1,27,68,0.527,precision_priority,37.18629000001238,1.7651939065506346e-05,0.28421052631578947,1,3,2,2,2,0.8364704098723675,2
Autoencoder,0.115625,0.7789473684210526,0.201360544217687,0.9194196414055033,0.5501769595136066,56085,566,21,74,0.8782194725058396,reconstruction_quantile_99,7.99597679200815,0.009990997511076592,0.22105263157894736,3,2,3,4,3,0.46302759096846857,3
Isolation Forest,0.0650529500756429,0.4526315789473684,0.1137566137566137,0.9317932790706532,0.0685722906805609,56033,618,52,43,0.5769604030363915,anomaly_quantile_99,0.3913083340157754,0.010908898342482922,0.5473684210526316,4,4,4,3,4,0.24473364300500977,4
